"txn_id","account_id","txn_reference_no","txn_date","txn_type","dr_cr_flag","amount","balance_after_txn","channel_code","narration","counterparty_reference"
"TXN00000001","ACC00000001","000001","2026-05-05 06:21:59","CHEQUE","CR","6339.46","349908.89","BRANCH","TXN","S000001"
"TXN00000002","ACC00000001","000002","2026-05-30 06:21:59","NEFT","DR","834.77","138052.07","ATM","TXN","S000002"
"TXN00000003","ACC00000001","000003","2026-04-08 06:21:59","UPI","CR","23237.85","131636.76","BRANCH","TXN","S000003"
"TXN00000004","ACC00000001","000004","2026-06-03 06:21:59","UPI","CR","38805.08","248755.57","BRANCH","TXN","S000004"
"TXN00000005","ACC00000002","000005","2026-05-09 06:21:59","UPI","CR","41429.78","486029.18","BRANCH","TXN","S000005"
"TXN00000006","ACC00000002","000006","2026-04-22 06:21:59","UPI","CR","12433.39","59548.93","MOBILE","TXN","S000006"
"TXN00000007","ACC00000002","000007","2026-04-05 06:21:59","RTGS","DR","23693.99","464918.39","BRANCH","TXN","S000007"
"TXN00000008","ACC00000002","000008","2026-03-22 06:21:59","TRANSFER","DR","37261.76","236509.44","ATM","TXN","S000008"
"TXN00000009","ACC00000002","000009","2026-04-10 06:21:59","UPI","CR","10016.31","425011.72","BRANCH","TXN","S000009"
"TXN00000010","ACC00000002","000010","2026-05-27 06:21:59","RTGS","DR","31682.16","-41712.76","ATM","TXN","S000010"
"TXN00000011","ACC00000003","000011","2026-04-21 06:21:59","UPI","DR","545.6","269592.36","NETBANKING","TXN","S000011"
"TXN00000012","ACC00000003","000012","2026-03-14 06:21:59","UPI","DR","18632.79","86797.24","NETBANKING","TXN","S000012"
"TXN00000013","ACC00000003","000013","2026-05-30 06:21:59","UPI","CR","46549.35","-17123.68","BRANCH","TXN","S000013"
"TXN00000014","ACC00000003","000014","2026-03-13 06:21:59","NEFT","DR","6378.79","124206.76","IVR","TXN","S000014"
"TXN00000015","ACC00000004","000015","2026-04-15 06:21:59","CHEQUE","DR","1165.51","146992.12","BRANCH","TXN","S000015"
"TXN00000016","ACC00000004","000016","2026-05-09 06:21:59","CHEQUE","DR","24316.58","257463.63","IVR","TXN","S000016"
"TXN00000017","ACC00000004","000017","2026-03-13 06:21:59","NEFT","CR","9569.81","248991.3","ATM","TXN","S000017"
"TXN00000018","ACC00000004","000018","2026-04-12 06:21:59","TRANSFER","CR","43396.33","452960.7","IVR","TXN","S000018"
"TXN00000019","ACC00000004","000019","2026-05-21 06:21:59","CHEQUE","DR","26603.76","112619.96","ATM","TXN","S000019"
"TXN00000020","ACC00000004","000020","2026-04-02 06:21:59","TRANSFER","CR","22758.54","158473.96","BRANCH","TXN","S000020"
"TXN00000021","ACC00000004","000021","2026-06-08 06:21:59","NEFT","CR","38823.23","126381.75","MOBILE","TXN","S000021"
"TXN00000022","ACC00000004","000022","2026-03-18 06:21:59","CHEQUE","CR","9574.49","371153.75","BRANCH","TXN","S000022"
"TXN00000023","ACC00000005","000023","2026-04-30 06:21:59","UPI","CR","32081.11","2940.96","MOBILE","TXN","S000023"
"TXN00000024","ACC00000005","000024","2026-06-05 06:21:59","UPI","DR","9014.08","61143.47","NETBANKING","TXN","S000024"
"TXN00000025","ACC00000005","000025","2026-05-17 06:21:59","CHEQUE","DR","1687.68","311856.69","IVR","TXN","S000025"
"TXN00000026","ACC00000005","000026","2026-03-23 06:21:59","NEFT","CR","2549.37","283274.49","MOBILE","TXN","S000026"
"TXN00000027","ACC00000005","000027","2026-06-09 06:21:59","UPI","DR","32821.89","207432.53","MOBILE","TXN","S000027"
"TXN00000028","ACC00000005","000028","2026-04-25 06:21:59","UPI","CR","41119.12","403003.63","ATM","TXN","S000028"
"TXN00000029","ACC00000005","000029","2026-04-04 06:21:59","RTGS","DR","36741.59","-7135.54","BRANCH","TXN","S000029"
"TXN00000030","ACC00000006","000030","2026-05-29 06:21:59","NEFT","DR","26629.89","56215.7","BRANCH","TXN","S000030"
"TXN00000031","ACC00000006","000031","2026-03-30 06:21:59","TRANSFER","DR","27965.33","178351.53","MOBILE","TXN","S000031"
"TXN00000032","ACC00000006","000032","2026-03-21 06:21:59","CHEQUE","CR","33757.18","435553.21","BRANCH","TXN","S000032"
"TXN00000033","ACC00000006","000033","2026-05-18 06:21:59","NEFT","CR","25284.17","243645.26","IVR","TXN","S000033"
"TXN00000034","ACC00000007","000034","2026-04-26 06:21:59","RTGS","CR","27549.06","414669.71","NETBANKING","TXN","S000034"
"TXN00000035","ACC00000007","000035","2026-03-21 06:21:59","RTGS","CR","41325.13","284627.35","IVR","TXN","S000035"
"TXN00000036","ACC00000007","000036","2026-04-02 06:21:59","TRANSFER","DR","18815.65","459380.81","ATM","TXN","S000036"
"TXN00000037","ACC00000007","000037","2026-04-25 06:21:59","CHEQUE","CR","22430.24","-49892.4","MOBILE","TXN","S000037"
"TXN00000038","ACC00000007","000038","2026-05-05 06:21:59","RTGS","DR","25928.71","-46387.14","BRANCH","TXN","S000038"
"TXN00000039","ACC00000007","000039","2026-05-14 06:21:59","RTGS","CR","1182.9","455511.65","IVR","TXN","S000039"
"TXN00000040","ACC00000007","000040","2026-03-31 06:21:59","CHEQUE","DR","4804.93","145610.66","BRANCH","TXN","S000040"
"TXN00000041","ACC00000007","000041","2026-05-08 06:21:59","NEFT","CR","44492.31","78146.78","ATM","TXN","S000041"
"TXN00000042","ACC00000007","000042","2026-05-30 06:21:59","NEFT","CR","28496.34","353846.27","ATM","TXN","S000042"
"TXN00000043","ACC00000007","000043","2026-04-10 06:21:59","TRANSFER","DR","24464.99","400733.4","MOBILE","TXN","S000043"
"TXN00000044","ACC00000008","000044","2026-06-06 06:21:59","UPI","CR","4016.02","457029.32","ATM","TXN","S000044"
"TXN00000045","ACC00000008","000045","2026-04-27 06:21:59","UPI","CR","20884.43","428382.58","BRANCH","TXN","S000045"
"TXN00000046","ACC00000008","000046","2026-03-19 06:21:59","CHEQUE","DR","31730.97","-20229.63","IVR","TXN","S000046"
"TXN00000047","ACC00000008","000047","2026-06-05 06:21:59","NEFT","CR","27042.49","129757.4","BRANCH","TXN","S000047"
"TXN00000048","ACC00000008","000048","2026-05-22 06:21:59","CHEQUE","DR","33714.4","484072.13","IVR","TXN","S000048"
"TXN00000049","ACC00000008","000049","2026-03-29 06:21:59","RTGS","DR","11182.07","382502.56","BRANCH","TXN","S000049"
"TXN00000050","ACC00000008","000050","2026-05-25 06:21:59","TRANSFER","CR","4219.0","359923.27","IVR","TXN","S000050"
"TXN00000051","ACC00000009","000051","2026-05-08 06:21:59","CHEQUE","DR","19986.5","375603.83","BRANCH","TXN","S000051"
"TXN00000052","ACC00000009","000052","2026-05-24 06:21:59","CHEQUE","CR","28008.88","167425.34","IVR","TXN","S000052"
"TXN00000053","ACC00000009","000053","2026-05-16 06:21:59","RTGS","DR","12191.52","377224.54","ATM","TXN","S000053"
"TXN00000054","ACC00000009","000054","2026-03-15 06:21:59","CHEQUE","DR","5715.24","182947.33","ATM","TXN","S000054"
"TXN00000055","ACC00000009","000055","2026-05-17 06:21:59","UPI","CR","17291.79","373324.71","BRANCH","TXN","S000055"
"TXN00000056","ACC00000009","000056","2026-04-27 06:21:59","CHEQUE","CR","31196.79","-25317.35","BRANCH","TXN","S000056"
"TXN00000057","ACC00000009","000057","2026-05-16 06:21:59","UPI","CR","7883.96","11804.46","MOBILE","TXN","S000057"
"TXN00000058","ACC00000009","000058","2026-05-10 06:21:59","RTGS","DR","43450.74","-42446.69","MOBILE","TXN","S000058"
"TXN00000059","ACC00000009","000059","2026-05-02 06:21:59","RTGS","CR","23612.4","64955.25","IVR","TXN","S000059"
"TXN00000060","ACC00000010","000060","2026-05-15 06:21:59","TRANSFER","CR","27485.12","351457.97","BRANCH","TXN","S000060"
"TXN00000061","ACC00000010","000061","2026-03-14 06:21:59","TRANSFER","DR","18892.67","-26084.9","BRANCH","TXN","S000061"
"TXN00000062","ACC00000010","000062","2026-06-03 06:21:59","TRANSFER","CR","10114.73","99204.8","NETBANKING","TXN","S000062"
"TXN00000063","ACC00000010","000063","2026-03-19 06:21:59","RTGS","DR","3423.23","314639.9","ATM","TXN","S000063"
